"start_station_name","start_lat","start_lng","total_trips"
Southport Ave & Wrightwood Ave,41.928782318917,-87.66389753887829,11190
California Ave & Milwaukee Ave,41.922686921366676,-87.69714548434035,11155
Clark St & Chicago Ave,41.896717945450646,-87.63087008058751,11114
Wolcott Ave & Polk St,41.87129428095312,-87.67368610754977,11113
Michigan Ave & 14th St,41.86412940167818,-87.62372409421728,11112
Halsted St & Maxwell St,41.864874970043594,-87.64708037493565,10992
Damen Ave & Cortland St,41.9159832957221,-87.6773209986746,10961
Halsted St & Willow St,41.91385118127721,-87.64877608337693,10960
Stetson Ave & South Water St,41.8867295400681,-87.62226666761508,10890
Dayton St & North Ave,41.91059416253594,-87.64942578127079,10837
Desplaines St & Randolph St,41.88460553529343,-87.64454071176725,10711
Clarendon Ave & Junior Ter,41.960989695300185,-87.64957166802174,10688
Clark St & Berwyn Ave,41.97798953776233,-87.66831964050614,10623
Carpenter St & Huron St,41.894547522980865,-87.65344961586959,10583
Aberdeen St & Randolph St,41.88412784034424,-87.65427236748224,10517
Shore Dr & 55th St,41.795247943511036,-87.58078416895418,10459
Sheffield Ave & Willow St,41.913714298125115,-87.6528498329105,10370
Wells St & Walton St,41.899930218635504,-87.63444885275973,10346
MLK Jr Dr & 29th St,41.84203275791109,-87.61697509816688,10212
Wells St & Polk St,41.87275610533641,-87.63365888096484,10030
Rush St & Hubbard St,41.890176765676486,-87.62621977237204,9980
Michigan Ave & Madison St,41.882071409192214,-87.62514244067003,9957
Burnham Harbor,41.85744855814877,-87.6138322993964,9913
Michigan Ave & Pearson St,41.89751727750731,-87.62353015324727,9878
Western Ave & Winnebago Ave,41.91554977536673,-87.68702541965924,9778
Damen Ave & Chicago Ave,41.89570027223991,-87.67716090800452,9681
Clifton Ave & Armitage Ave,41.918212182724815,-87.65697157917465,9645
Franklin St & Adams St (Temp),41.87928686191563,-87.63551981249003,9631
State St & Van Buren St,41.8771515171658,-87.62787170864304,9575
Michigan Ave & 18th St,41.857846295968706,-87.62455944148792,9552
Wacker Dr & Washington St,41.883162908646135,-87.63729291974197,9539
Wabash Ave & Adams St,41.87949681474603,-87.62572433339767,9463
Ellis Ave & 58th St,41.78874147098254,-87.60132390522739,9448
Aberdeen St & Monroe St,41.88041563827264,-87.65557226780588,9442
Sheridan Rd & Buena Ave,41.958495444879695,-87.65499984888766,9357
Southport Ave & Clybourn Ave,41.92076759243677,-87.66373746399304,9349
Field Museum,41.865329572625235,-87.61794073705543,9294
Clark St & Leland Ave,41.967084906862674,-87.66729778575426,9118
