"start_station_name","member_casual","start_lat","start_lng","total_trips"
Michigan Ave & 14th St,casual,41.86413519196118,-87.62371768671352,3945
Sedgwick St & Huron St,casual,41.89466504955706,-87.6383675084019,3901
Lakefront Trail & Wilson Ave,casual,41.965826271235414,-87.64539992460925,3895
Dayton St & North Ave,casual,41.91059423922205,-87.64942629918535,3861
Larrabee St & Division St,casual,41.903499124824776,-87.64333565541817,3841
Green St & Randolph St*,casual,41.88359171191498,-87.64857707746656,3823
Fort Dearborn Dr & 31st St,casual,41.838556691359344,-87.6082079456843,3782
LaSalle St & Jackson Blvd,casual,41.87812823374909,-87.63186181643698,3782
Sangamon St & Lake St,casual,41.88582637688205,-87.65105366721784,3782
Wabash Ave & Adams St,casual,41.87948774165941,-87.62571782137424,3750
Cannon Dr & Fullerton Ave,casual,41.92673427153749,-87.63443990833872,3719
Clarendon Ave & Junior Ter,casual,41.96100219275699,-87.64958021127163,3708
Desplaines St & Randolph St,casual,41.884602673465196,-87.64453842644032,3690
Rush St & Hubbard St,casual,41.89017787935322,-87.62621707156107,3669
Clarendon Ave & Gordon Ter,casual,41.957839810735166,-87.64949460193246,3658
Racine Ave & Fullerton Ave,casual,41.925591985659196,-87.65846903457265,3658
Aberdeen St & Randolph St,casual,41.884138285298896,-87.65427337426591,3596
Franklin St & Monroe St,casual,41.88017753662417,-87.63534567602028,3564
Wells St & Walton St,casual,41.89994075627698,-87.63444007617989,3523
Damen Ave & Chicago Ave,casual,41.89569081268708,-87.6771518361539,3491
Canal St & Monroe St,casual,41.88164514172764,-87.63951432443733,3469
Canal St & Jackson Blvd,casual,41.87726018796577,-87.63941240863255,3466
Clifton Ave & Armitage Ave,casual,41.91820649688026,-87.65697370915342,3466
Calumet Ave & 18th St,casual,41.85766713037837,-87.61952865708332,3444
Halsted St & Maxwell St,casual,41.86486528942036,-87.64707870010449,3444
State St & Harrison St,casual,41.874030214587656,-87.62770486926877,3443
State St & Van Buren St,casual,41.87712755983786,-87.62786480667724,3441
Sheffield Ave & Willow St,casual,41.91371711840901,-87.6528505977838,3428
Carpenter St & Huron St,casual,41.89455045796272,-87.6534519264224,3389
Michigan Ave & 18th St,casual,41.8578350564392,-87.62455054682809,3387
Orleans St & Chestnut St (NEXT Apts),casual,41.898152900994106,-87.63754185389712,3381
Southport Ave & Clybourn Ave,casual,41.920766324526504,-87.66372544242161,3375
Aberdeen St & Jackson Blvd,casual,41.87771913416566,-87.65482956675872,3333
Halsted St & Willow St,casual,41.91385649634488,-87.64877888085326,3327
Wells St & Polk St,casual,41.872732104116295,-87.63365737948111,3282
"900 W Harrison St",casual,41.87475225196251,-87.64980837696622,3245
Paulina Ave & North Ave,casual,41.9101105488017,-87.6700170709404,3173
Clark St & Leland Ave,casual,41.96708803552337,-87.66729786334365,3168
